typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,year
C,A,20200101,2020,52,2020,484,MEX,Mexico,X,Export,826,GBR,United Kingdom,0,W00,World,H4,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,131643.666,True,-1,N/A,0.0,False,131643.666,True,0,False,,245873.0,245873.0,6,False,True,2020
C,A,20200101,2020,52,2020,504,MAR,Morocco,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,910993.5,False,8,kg,910993.5,False,910993.5,False,0,False,0.0,1876403.026,1876403.026,0,True,False,2020
C,A,20200101,2020,52,2020,508,MOZ,Mozambique,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44.0,False,8,kg,44.0,False,44.0,False,0,False,,122.23,122.23,0,False,True,2020
C,A,20200101,2020,52,2020,512,OMN,Oman,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250.0,False,8,kg,250.0,False,250.0,False,0,False,,2803.641,2803.641,0,True,False,2020
C,A,20200101,2020,52,2020,528,NLD,Netherlands,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,110938251.0,False,8,kg,110938251.0,False,110938251.0,False,0,False,0.0,262311692.849,262311692.849,0,True,False,2020
C,A,20200101,2020,52,2020,586,PAK,Pakistan,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28663.0,False,8,kg,28663.0,False,28663.0,False,0,False,0.0,47566.944,47566.944,0,True,False,2020
C,A,20200101,2020,52,2020,604,PER,Peru,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4243.57,False,8,kg,4243.57,False,4243.57,False,0,False,0.0,14600.0,14600.0,0,True,False,2020
C,A,20200101,2020,52,2020,616,POL,Poland,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1216178.0,False,8,kg,1216178.0,False,1216178.0,False,0,False,0.0,1620220.0,1620220.0,0,True,False,2020
C,A,20200101,2020,52,2020,620,PRT,Portugal,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67117.0,False,8,kg,67117.0,False,67117.0,False,0,False,,157777.244,157777.244,0,False,True,2020
C,A,20200101,2020,52,2020,642,ROU,Romania,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19088.304,True,8,kg,19088.0,False,19088.304,True,0,False,0.0,32532.22,32532.22,6,False,True,2020
C,A,20200101,2020,52,2020,646,RWA,Rwanda,X,Export,826,GBR,United Kingdom,0,W00,World,H4,HS,True,70960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,188079.4,False,8,kg,188079.4,False,188079.4,False,0,False,,481428.0,481428.0,0,True,False,2020
